Name,State,Notes,User,Tags,Created,Runtime,Sweep,Parameters,Test Eval Time,Test R2,Test RMSE,Train Epoch R2,Train Epoch RMSE,Train Eval Time,Train Loss
esol_rand_2d_3_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs500_dyn0_seed3,finished,-,paf46,,2021-04-23T15:53:57.000Z,2158,,3393,0.169027567,0.928816413,0.305158418,0.932127934,0.300129426,1.208922863,0.078455567
esol_rand_2d_1_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs300_dyn0_seed1,finished,-,paf46,,2021-04-23T15:53:58.000Z,1927,,3393,0.252083063,0.915497006,0.29850839,0.920016237,0.293659497,1.865801573,0.063009858
esol_rand_2d_2_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs300_dyn0_seed2,finished,-,paf46,,2021-04-23T15:53:58.000Z,1982,,3393,0.264475346,0.885328426,0.34646854,0.920650422,0.303934234,1.791293859,0.023916421
esol_rand_2d_0_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs1000_dyn0_seed0,finished,-,paf46,,2021-04-23T16:15:36.000Z,6068,,3393,0.263419151,0.913810721,0.293169868,0.948201014,0.232003224,1.700808048,0.036776643
esol_rand_2d_1_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs1000_dyn0_seed1,finished,-,paf46,,2021-04-23T16:15:48.000Z,4480,,3393,0.188909054,0.920857713,0.285874152,0.938993281,0.246424613,1.24403286,0.027160753
esol_rand_2d_2_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs1000_dyn0_seed2,finished,-,paf46,,2021-04-23T16:16:11.000Z,5221,,3393,0.179814816,0.89684136,0.306153094,0.939095148,0.25464348,1.68029952,0.012414853
esol_rand_2d_3_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs1000_dyn0_seed3,finished,-,paf46,,2021-04-23T16:16:38.000Z,5190,,3393,0.199137688,0.927679555,0.291395441,0.940435898,0.252860319,1.607711315,0.023257751
esol_rand_2d_4_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs1000_dyn0_seed4,finished,-,paf46,,2021-04-23T16:26:13.000Z,5278,,3393,0.191562414,0.905761794,0.287653417,0.947351628,0.237018758,1.250736713,0.071145579
esol_rand_2d_5_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs1000_dyn0_seed5,finished,-,paf46,,2021-04-23T16:27:08.000Z,6287,,3393,0.258905649,0.922849442,0.270166071,0.943036727,0.239506434,1.833353519,0.05810399
esol_rand_2d_2_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs2000_dyn0_seed2,finished,-,paf46,,2021-04-23T17:48:29.000Z,8826,,3393,0.174166203,0.89890424,0.307240561,0.954367208,0.221524172,1.303165913,0.035175759
